datetime,code,open,close,high,low,vol,amount,p_change,avg,open_q,close_q,high_q,low_q,avg_fq
2008-07-01,000159,17.0,17.12,17.35,16.88,11999.0,20545892.0,,17.12300358363197,7.85,7.9,8.01,7.79,7.903893705913479
2008-07-02,000159,17.02,16.95,17.49,16.8,15499.0,26580716.0,-0.99,17.149955480998774,7.86,7.82,8.07,7.76,7.9166803054194625
2008-07-03,000159,16.72,17.72,18.12,16.21,44128.0,76747544.0,4.54,17.39202864394489,7.72,8.18,8.36,7.48,8.027060987275668
2008-07-04,000159,17.71,15.95,17.98,15.95,71745.0,117567592.0,-9.99,16.38686905010802,8.18,7.36,8.3,7.36,7.5644227806888855
2008-07-07,000159,16.22,17.16,17.33,16.05,44483.0,74027056.0,7.59,16.64165096778545,7.49,7.92,8.0,7.41,7.682642996590236
2008-07-08,000159,18.19,18.21,18.58,17.7,70030.0,126630624.0,6.12,18.082339568756247,8.4,8.41,8.58,8.17,8.34954678432859
2008-07-09,000159,18.42,18.79,18.92,18.02,62376.0,114684072.0,3.19,18.38592920353982,8.5,8.67,8.73,8.32,8.485012303232738
2008-07-10,000159,18.68,18.85,19.49,18.31,58466.0,111969544.0,0.32,19.151223617145007,8.62,8.7,9.0,8.45,8.839662171333194
2008-07-11,000159,18.79,19.53,20.0,18.57,43896.0,84776152.0,3.61,19.31295607800255,8.67,9.02,9.23,8.57,8.914287596791823
2008-07-14,000159,19.55,19.8,20.5,19.4,39608.0,78870240.0,1.38,19.912704504140578,9.02,9.14,9.46,8.96,9.191216130720163
2008-07-15,000159,19.88,18.89,20.1,18.0,41502.0,79289040.0,-4.6,19.104872054358825,9.18,8.72,9.28,8.31,8.820527229308968
2008-07-16,000159,18.4,18.23,18.89,18.0,27178.0,49790520.0,-3.49,18.320156008536316,8.49,8.42,8.72,8.31,8.457358396766853
2008-07-18,000159,18.0,18.04,18.78,16.41,59501.0,101991896.0,-1.04,17.141207038537168,8.31,8.33,8.67,7.58,7.914767516807955
2008-07-21,000159,17.79,18.51,18.76,17.21,29492.0,53312788.0,2.61,18.077033771870337,8.21,8.54,8.66,7.94,8.341936344199064
2008-07-22,000159,18.7,18.6,19.05,18.51,22275.0,41896300.0,0.49,18.808664421997754,8.63,8.59,8.79,8.54,8.680718694727256
2008-07-23,000159,18.5,17.85,18.7,17.8,21491.0,38946052.0,-4.03,18.122028756223536,8.54,8.24,8.63,8.22,8.36570192370956
2008-07-24,000159,17.66,18.2,18.29,17.66,21210.0,38310432.0,1.96,18.06243847241867,8.15,8.4,8.44,8.15,8.335735323641575
2008-07-25,000159,17.81,17.9,18.21,17.6,16495.0,29604036.0,-1.65,17.947278569263414,8.22,8.26,8.41,8.12,8.283588909213417
2008-07-28,000159,18.0,18.66,18.68,17.9,26408.0,48690892.0,4.25,18.437932444713724,8.31,8.61,8.62,8.26,8.509020537514424
2008-07-29,000159,18.66,19.19,19.37,18.5,52155.0,99304344.0,2.84,19.04023468507334,8.61,8.86,8.94,8.54,8.788390770254296
2008-07-30,000159,19.19,18.38,19.19,18.3,28798.0,53890736.0,-4.22,18.713360650045143,8.86,8.48,8.86,8.45,8.638687470535684
2008-07-31,000159,18.49,17.5,18.82,17.5,26794.0,48505552.0,-4.79,18.103139508845263,8.54,8.08,8.69,8.08,8.359360492634888
2008-08-01,000159,17.45,17.19,17.72,16.5,31217.0,52791628.0,-1.77,16.91117916519845,8.06,7.94,8.18,7.62,7.809672832943905
2008-08-04,000159,17.24,16.78,17.24,16.67,11974.0,20216842.0,-2.39,16.883950225488558,7.96,7.75,7.96,7.7,7.796967861117968
2008-08-05,000159,16.9,15.17,17.0,15.11,35645.0,56133968.0,-9.59,15.748062280824799,7.8,7.0,7.85,6.98,7.270394873325128
2008-08-06,000159,15.4,14.4,15.55,14.1,37907.0,55572156.0,-5.08,14.660130318938455,7.11,6.65,7.18,6.51,6.769051193369718
2008-08-07,000159,14.64,14.39,14.67,13.72,25257.0,35805020.0,-0.07,14.17627588391337,6.76,6.64,6.77,6.33,6.5425520615973625
2008-08-08,000159,14.36,13.88,14.76,13.8,31934.0,45825936.0,-3.54,14.35020229222772,6.63,6.41,6.81,6.37,6.6242916095324516
2008-08-11,000159,13.88,12.49,13.88,12.49,25770.0,33341976.0,-10.01,12.938291036088474,6.41,5.77,6.41,5.77,5.975995642549977
2008-08-12,000159,12.2,12.35,12.5,11.6,31696.0,38315572.0,-1.12,12.08845658758203,5.63,5.7,5.77,5.35,5.578381511606839
2008-08-13,000159,12.36,12.73,13.0,11.86,22030.0,27146020.0,3.08,12.322296867907399,5.71,5.88,6.0,5.47,5.688786332027876
2008-08-14,000159,12.71,12.78,13.34,12.5,24625.0,31972178.0,0.39,12.983625583756345,5.87,5.9,6.16,5.77,5.99479083399714
2008-08-15,000159,12.8,12.4,12.82,12.06,15654.0,19532132.0,-2.97,12.47740641369618,5.91,5.72,5.92,5.57,5.760338498315627
2008-08-18,000159,12.18,11.16,12.18,11.16,32077.0,36898848.0,-10.0,11.50321039997506,5.62,5.15,5.62,5.15,5.308022223345401
2008-08-19,000159,10.88,11.39,11.41,10.5,21409.0,23805406.0,2.06,11.119345135223504,5.02,5.26,5.27,4.85,5.134340045217633
2008-08-20,000159,11.2,12.36,12.4,11.0,44884.0,54041152.0,8.52,12.040181801978433,5.17,5.71,5.72,5.08,5.558549812054987
2008-08-21,000159,12.08,11.12,12.35,11.12,36507.0,43057244.0,-10.03,11.794243295806284,5.58,5.13,5.7,5.13,5.443592570130261
2008-08-22,000159,11.14,11.18,11.5,10.7,31313.0,35007140.0,0.54,11.179746431194712,5.14,5.16,5.31,4.94,5.1604660302617065
2008-08-25,000159,11.1,10.8,11.2,10.58,23940.0,26003290.0,-3.4,10.86185881370092,5.12,4.99,5.17,4.88,5.013166948077865
2008-08-26,000159,10.5,9.8,10.5,9.72,35038.0,35087952.0,-9.26,10.014256521490953,4.85,4.52,4.85,4.49,4.624108563438353
2008-08-27,000159,9.74,9.05,9.93,8.82,62192.0,56813008.0,-7.65,9.135099048109081,4.5,4.18,4.58,4.07,4.217116764703814
2008-08-28,000159,8.99,9.4,9.42,8.82,43574.0,39762952.0,3.87,9.125384862532703,4.15,4.34,4.35,4.07,4.2127036032525425
2008-08-29,000159,9.41,9.9,10.18,9.35,52559.0,51224096.0,5.32,9.746017998820372,4.34,4.57,4.7,4.32,4.499129367286141
2008-09-01,000159,9.68,9.11,9.75,9.03,34548.0,32459908.0,-7.98,9.395596850758366,4.47,4.21,4.5,4.17,4.338882051169126
2008-09-02,000159,9.0,9.06,9.29,8.7,21233.0,19059472.0,-0.55,8.976344369613338,4.15,4.18,4.29,4.02,4.143288154793304
2008-09-03,000159,8.88,8.69,9.16,8.5,33815.0,29533660.0,-4.08,8.733893242643797,4.1,4.01,4.23,3.92,4.031082765161632
2008-09-04,000159,8.7,8.88,9.05,8.64,36413.0,32149334.0,2.19,8.829081372037459,4.02,4.1,4.18,3.99,4.077844056815608
2008-09-05,000159,8.54,8.35,8.62,8.2,33486.0,28162906.0,-5.97,8.410352386071791,3.94,3.85,3.98,3.79,3.8820609484229514
2008-09-09,000159,7.98,8.22,8.23,7.75,36711.0,29409686.0,-1.56,8.011137261311324,3.68,3.79,3.8,3.58,3.6968398714107336
2008-09-10,000159,8.01,7.9,8.35,7.78,38491.0,30871382.0,-3.89,8.020415681587904,3.7,3.65,3.85,3.59,3.702259022333761
2008-09-11,000159,7.81,7.85,8.09,7.75,30438.0,24112206.0,-0.63,7.921744529863986,3.61,3.62,3.73,3.58,3.656529139795462
2008-09-12,000159,7.93,8.02,8.13,7.75,28245.0,22646990.0,2.17,8.018052752699594,3.66,3.7,3.75,3.58,3.7004101457302623
2008-09-16,000159,7.89,7.92,8.13,7.8,26345.0,20994084.0,-1.25,7.968906433858417,3.64,3.66,3.75,3.6,3.6781356301908215
2008-09-17,000159,7.95,7.9,8.16,7.86,29069.0,23299826.0,-0.25,8.01535174928618,3.67,3.65,3.77,3.63,3.702107908244656
2008-09-18,000159,7.81,7.55,7.81,7.11,56481.0,41377260.0,-4.43,7.3258724172730645,3.61,3.49,3.61,3.28,3.3848044518335354
2008-09-19,000159,8.29,8.31,8.31,8.0,50181.0,41548588.0,10.07,8.279744923377374,3.83,3.84,3.84,3.69,3.824176113460967
2008-09-22,000159,8.7,9.14,9.14,8.48,167983.0,149756256.0,9.99,8.914964966693057,4.02,4.22,4.22,3.91,4.115609455397036
2008-09-23,000159,8.73,8.61,9.48,8.54,107676.0,96163984.0,-5.8,8.930865188157064,4.03,3.97,4.38,3.94,4.122057954802305
2008-09-24,000159,8.32,8.47,8.5,7.99,106776.0,87291584.0,-1.63,8.175206413426238,3.84,3.91,3.92,3.69,3.7731367324648795
2008-09-25,000159,8.4,8.73,8.94,8.31,108789.0,94219504.0,3.07,8.660756510308946,3.88,4.03,4.13,3.84,4.000355780602489
2008-09-26,000159,8.8,9.29,9.38,8.6,137307.0,123648496.0,6.41,9.005257998499712,4.06,4.29,4.33,3.97,4.156873740110292
2008-10-06,000159,8.84,8.36,8.99,8.36,135329.0,115045768.0,-10.01,8.50119102335789,4.08,3.86,4.15,3.86,3.924555345105846
2008-10-07,000159,8.05,8.2,8.39,7.78,77698.0,62677596.0,-1.91,8.066822312028624,3.72,3.79,3.87,3.59,3.7248654308291025
2008-10-08,000159,8.0,8.15,8.36,7.9,40121.0,32803600.0,-0.61,8.17616709453902,3.69,3.76,3.86,3.65,3.773996652319303
2008-10-09,000159,8.3,7.8,8.32,7.7,50009.0,40144740.0,-4.29,8.027503049451099,3.83,3.6,3.84,3.55,3.7038822950792674
2008-10-10,000159,7.5,7.08,7.5,7.02,64934.0,46409536.0,-9.23,7.147185757846429,3.46,3.27,3.46,3.24,3.2984738238444993
2008-10-13,000159,7.03,7.09,7.09,6.38,60757.0,40748480.0,0.14,6.706795924749412,3.25,3.27,3.27,2.95,3.096833179546807
2008-10-14,000159,7.4,6.61,7.41,6.61,63787.0,45492368.0,-6.77,7.131918415978178,3.42,3.05,3.42,3.05,3.292522708244602
2008-10-15,000159,6.6,6.4,6.66,6.23,50813.0,32721572.0,-3.18,6.439606399937024,3.05,2.95,3.07,2.88,2.9722760715262795
2008-10-16,000159,6.05,6.0,6.19,6.0,57727.0,34901480.0,-6.25,6.045954232854643,2.79,2.77,2.86,2.77,2.791029505105498
2008-10-17,000159,6.12,6.17,6.22,6.04,31161.0,19132066.0,2.83,6.139747119797182,2.83,2.85,2.87,2.79,2.8360251503563845
2008-10-20,000159,6.06,6.49,6.55,5.91,45884.0,28949504.0,5.19,6.309280795048383,2.8,3.0,3.02,2.73,2.913670482021158
2008-10-21,000159,6.49,6.53,6.85,6.36,90222.0,59668116.0,0.62,6.613477422358183,3.0,3.01,3.16,2.94,3.053282970723428
2008-10-22,000159,6.33,6.14,6.53,6.1,53755.0,34121844.0,-5.97,6.347659566551949,2.92,2.83,3.01,2.82,2.928468155126435
2008-10-23,000159,5.88,6.38,6.43,5.78,54118.0,33045046.0,3.91,6.106109981891422,2.71,2.95,2.97,2.67,2.8198290959123327
2008-10-24,000159,7.02,7.02,7.02,7.02,27513.0,19314134.0,10.03,7.020002907716353,3.24,3.24,3.24,3.24,3.240001324827667
2008-10-27,000159,7.72,7.72,7.72,7.51,335125.0,258400144.0,9.97,7.710560059679223,3.56,3.56,3.56,3.47,3.557330714905563
2008-10-28,000159,7.7,7.72,7.79,6.95,233900.0,175060480.0,0.0,7.484415562206071,3.55,3.56,3.6,3.21,3.4543003847550326
2008-10-29,000159,7.74,7.78,8.46,7.56,237666.0,190464096.0,0.78,8.013939562242811,3.57,3.59,3.91,3.49,3.6996265439024745
2008-10-30,000159,7.66,7.85,8.2,7.65,170358.0,134617760.0,0.9,7.902050975005576,3.54,3.62,3.79,3.53,3.648689085250883
2008-10-31,000159,7.85,8.17,8.37,7.47,172467.0,135978576.0,4.08,7.884324305519317,3.62,3.77,3.86,3.45,3.6377108190877108
2008-11-03,000159,8.01,7.94,8.39,7.8,169422.0,137693568.0,-2.82,8.127254311718668,3.7,3.67,3.87,3.6,3.752551117960896
2008-11-04,000159,7.7,8.0,8.15,7.48,149045.0,116457744.0,0.76,7.813596162232883,3.55,3.69,3.76,3.45,3.6037981554124836
2008-11-05,000159,8.0,8.35,8.6,7.92,180025.0,149314032.0,4.37,8.29407204554923,3.69,3.85,3.97,3.66,3.8278059894671084
2008-11-06,000159,8.1,8.03,8.29,7.91,115890.0,93596864.0,-3.83,8.076353783760462,3.74,3.71,3.83,3.65,3.7296843682924523
2008-11-07,000159,8.03,8.19,8.57,7.95,130216.0,107721312.0,1.99,8.272509676230264,3.71,3.78,3.96,3.67,3.8204425759181615
2008-11-11,000159,8.9,8.46,8.97,8.42,202799.0,177230368.0,3.3,8.739213112490694,4.11,3.91,4.14,3.89,4.036331331215577
2008-11-12,000159,8.4,9.31,9.31,8.3,197557.0,176329904.0,10.05,8.92552043207783,3.88,4.3,4.3,3.83,4.121661044252523
2008-11-13,000159,9.5,9.9,10.2,9.33,222155.0,215875632.0,6.34,9.717342936238213,4.39,4.57,4.71,4.31,4.487955046347859
2008-11-14,000159,9.8,10.08,10.3,9.72,182453.0,182519392.0,1.82,10.003638854937984,4.52,4.65,4.75,4.49,4.615666132458768
2008-11-17,000159,9.95,10.43,10.48,9.68,181163.0,183653120.0,3.47,10.137451907950298,4.59,4.81,4.84,4.47,4.678614587975605
2008-11-18,000159,10.22,9.39,10.26,9.39,162825.0,158218512.0,-9.97,9.71708963611239,4.72,4.33,4.74,4.33,4.484975899524397
2008-11-19,000159,8.97,9.72,9.86,8.65,165927.0,153622576.0,3.51,9.258443532396777,4.14,4.49,4.55,3.99,4.273390245040468
2008-11-20,000159,9.3,9.03,9.56,8.91,124812.0,114767840.0,-7.1,9.195256866326956,4.29,4.17,4.41,4.11,4.242791000718949
2008-11-21,000159,8.65,9.28,9.6,8.38,145182.0,132013960.0,2.77,9.092997754542575,3.99,4.28,4.43,3.87,4.195739915166431
2008-11-24,000159,9.25,8.6,9.43,8.6,95465.0,85932880.0,-7.33,9.001506311213534,4.27,3.97,4.35,3.97,4.154501818962091
2008-11-25,000159,8.86,8.75,8.94,8.37,76516.0,66256880.0,1.74,8.659218986878562,4.09,4.04,4.13,3.86,3.997383162003561
2008-11-26,000159,8.68,9.1,9.38,8.45,120278.0,108357368.0,4.0,9.008910025108499,4.01,4.2,4.33,3.9,4.15911028877826
2008-11-27,000159,9.69,9.13,9.97,8.19,153514.0,145074944.0,0.33,9.450274502651224,4.47,4.21,4.6,3.78,4.359663158406483
2008-11-28,000159,9.0,8.68,9.19,8.4,91247.0,80592032.0,-4.93,8.83229388363453,4.15,4.01,4.24,3.88,4.07674047980436
2008-12-01,000159,8.45,8.89,8.96,8.3,84639.0,73308040.0,2.42,8.661260175569183,3.9,4.1,4.14,3.83,3.997724802770567
2008-12-02,000159,8.55,9.14,9.26,8.47,105065.0,94760608.0,2.81,9.019236472659781,3.95,4.22,4.27,3.91,4.163236868372686
2008-12-03,000159,9.19,9.97,10.05,9.14,176762.0,170190544.0,9.08,9.628231407202906,4.24,4.6,4.64,4.22,4.44380026226284
2008-12-04,000159,10.08,9.78,10.6,9.74,244736.0,247856992.0,-1.91,10.127524843096234,4.65,4.51,4.89,4.5,4.67323100993571
2008-12-05,000159,9.62,9.98,10.15,9.61,106409.0,105700480.0,2.04,9.933415406591548,4.44,4.61,4.69,4.44,4.588175027960941
